Countries,UN Geoscheme,UN Geoscheme,Forex reserves including gold,Forex reserves including gold,Forex reserves including gold,Forex reserves excluding gold,Forex reserves excluding gold,Forex reserves excluding gold,Ref.
Countries,Continents,Sub-regions,Millions american dollars equivalents,Last reported date,Change,Millions american dollars equivalents,Last reported date,Change,Ref.
China,Asia,East Asia,"3,571,803",31-Oct-24,"21,957","3,380,334",31-Oct-24,415,[3]
Japan,Asia,East Asia,"1,238,950",1-Nov-24,"15,948","1,164,583",1-Nov-24,"18,782",[4]
Switzerland,Europe,Western Europe,"952,687",30-Sep-24,"1,127","864,519",30-Sep-24,604,[5]
India,Asia,South Asia,"682,130",1-Nov-24,"2,675","612,379",1-Nov-24,"3,899",[6][7]
Russia,Europe,Eastern Europe,"628,500",1-Nov-24,"3,400","596,100",1-Nov-24,720,[8]
Taiwan,Asia,East Asia,"568,107",3-Apr-24,132,"563,720",3-Apr-24,17,[9]
Saudi Arabia,Asia,West Asia,"456,315",31-Oct-24,"12,838","456,315",7-Apr-24,"12,838",[10]
South Korea,Asia,East Asia,"419,360",3-Apr-24,"3,580","419,360",3-Apr-24,,[11]
Hong Kong,Asia,East Asia,"416,279",1-Aug-24,"8,026","416,124",1-Aug-24,155,[12]
Brazil,Americas,South America,"388,571",1-Oct-24,"7,465","344,173",1-Mar-24,361,[13]
Singapore,Asia,Southeast Asia,"384,587",1-Aug-24,"5,968","347,083",1-Mar-24,356,[14]
Germany,Europe,Western Europe,"345,338",1-Oct-24,"9,863","254,267",1-Oct-24,"9,275",[15]
Italy,Europe,Southern Europe,"279,631",7-Nov-24,"14,225","79,637",7-Nov-24,"1,240",[16]
United States,Americas,Northern America,"242,681",15-Mar-24,"1,422","231,640",15-Mar-24,41,[17]
France,Europe,Western Europe,"240,677",1-Mar-24,"2,400","120,745",1-Mar-24,33,[18]
Thailand,Asia,Southeast Asia,"230,624",31-Jul-24,"6,296","212,160",31-Jul-24,5.38,[19]
Mexico,Americas,Central America,"225,427",6-Sep-24,686,"216,965",30-Jun-24,439,[20]
Israel,Asia,West Asia,"220,377",31 Sep 2024,"2,992","220,377",31-Aug-24,"2,992",[21]
